category_code,founded_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,isClosed,Active_Days
advertising,2007,MAR,1.0,3652913.0,1.0,2.0,1,5110.0
advertising,2008,USA,1.0,3652913.0,1.0,2.0,1,4745.0
games_video,2008,USA,1.0,3652913.0,1.0,3.0,1,4745.0
cleantech,2003,USA,3.0,10125293.0,1.0,6.0,1,6570.0
software,2011,AUS,1.0,3652913.0,1.0,2.0,1,3650.0
mobile,2003,AUS,1.0,250000.0,1.0,2.0,1,6570.0
network_hosting,2008,IND,1.0,3652913.0,1.0,2.0,1,4745.0
consulting,2009,USA,1.0,3652913.0,1.0,2.0,1,4380.0
finance,2012,USA,1.0,3652913.0,4.0,3.0,1,3285.0
advertising,2004,AUS,1.0,3652913.0,1.0,1.0,1,6205.0
medical,2006,USA,2.0,11300000.0,1.0,2.0,1,5475.0
manufacturing,2004,USA,2.0,3652913.0,1.0,4.0,1,6205.0
games_video,2006,FRA,2.0,414840.0,1.0,2.0,1,5475.0
games_video,2008,JPN,1.0,3652913.0,1.0,1.0,1,4745.0
enterprise,2004,USA,1.0,1500000.0,1.0,8.0,1,6205.0
web,2006,USA,1.0,2500000.0,2.0,7.0,1,5475.0
other,2007,IND,1.0,3652913.0,1.0,2.0,1,5110.0
advertising,2006,EGY,1.0,3652913.0,1.0,1.0,1,5475.0
ecommerce,2008,ISR,1.0,3652913.0,1.0,2.0,1,4745.0
other,1983,USA,1.0,3652913.0,1.0,1.0,1,13870.0
public_relations,2007,USA,1.0,3652913.0,1.0,3.0,1,5110.0
software,2001,USA,1.0,3652913.0,1.0,3.0,1,7300.0
mobile,2002,USA,1.0,3652913.0,2.0,1.0,1,6935.0
games_video,2008,GBR,1.0,3652913.0,1.0,3.0,1,4745.0
software,2004,THA,1.0,3652913.0,1.0,1.0,1,6205.0
network_hosting,1998,GBR,1.0,3652913.0,1.0,4.0,1,8395.0
games_video,2011,USA,1.0,40000.0,1.0,5.0,1,3650.0
ecommerce,2008,USA,1.0,3652913.0,3.0,5.0,1,4745.0
ecommerce,2011,AUT,1.0,3652913.0,1.0,2.0,1,3650.0
software,2011,GBR,1.0,3652913.0,1.0,2.0,1,3650.0
other,2008,IRL,1.0,3652913.0,1.0,5.0,1,4745.0
enterprise,1998,NLD,1.0,3652913.0,1.0,2.0,1,8395.0
web,2007,USA,1.0,350000.0,1.0,2.0,1,5110.0
advertising,2007,USA,1.0,3652913.0,2.0,5.0,1,5110.0
consulting,2006,GBR,1.0,3652913.0,1.0,1.0,1,5475.0
web,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
software,1978,USA,1.0,3652913.0,1.0,4.0,1,15695.0
consulting,2004,GBR,1.0,3652913.0,1.0,1.0,1,6205.0
analytics,2008,USA,1.0,3100000.0,3.0,5.0,1,4745.0
ecommerce,2010,NLD,1.0,3652913.0,1.0,2.0,1,4015.0
mobile,2007,USA,1.0,3652913.0,1.0,2.0,1,5110.0
software,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
software,1999,USA,1.0,3652913.0,1.0,3.0,1,8030.0
public_relations,1978,USA,1.0,3652913.0,1.0,5.0,1,15695.0
web,2007,USA,1.0,100000.0,1.0,1.0,0,1825.0
software,2008,USA,1.0,3652913.0,1.0,3.0,1,4745.0
news,2004,SWE,3.0,3933515.0,1.0,2.0,1,6205.0
other,2001,USA,1.0,3652913.0,1.0,4.0,1,7300.0
software,2007,USA,1.0,280000.0,2.0,2.0,1,5110.0
games_video,2006,DEU,1.0,5000000.0,5.0,3.0,0,1460.0
software,2008,USA,1.0,3652913.0,1.0,2.0,0,730.0
games_video,2008,USA,1.0,3652913.0,1.0,3.0,1,4745.0
government,2010,USA,2.0,182500.0,1.0,3.0,1,4015.0
web,2007,USA,1.0,3652913.0,3.0,8.0,1,5110.0
ecommerce,2008,USA,2.0,4815940.0,1.0,4.0,1,4745.0
ecommerce,2001,USA,1.0,3652913.0,1.0,1.0,1,7300.0
mobile,2008,JPN,2.0,16000000.0,3.0,8.0,1,4745.0
other,2008,USA,1.0,3652913.0,1.0,3.0,1,4745.0
advertising,2010,USA,1.0,3652913.0,1.0,5.0,1,4015.0
web,2006,FIN,1.0,1613875.0,1.0,3.0,0,2555.0
web,2007,USA,1.0,3652913.0,1.0,2.0,1,5110.0
web,2008,USA,1.0,3652913.0,1.0,6.0,1,4745.0
software,1998,USA,1.0,3652913.0,1.0,1.0,1,8395.0
other,2009,RUS,1.0,720000.0,1.0,3.0,1,4380.0
web,2008,GBR,1.0,3652913.0,1.0,3.0,1,4745.0
web,2007,USA,2.0,4350000.0,1.0,2.0,1,5110.0
security,1997,USA,1.0,8500000.0,1.0,2.0,1,8760.0
web,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
ecommerce,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
advertising,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
consulting,2001,USA,1.0,3652913.0,1.0,1.0,1,7300.0
games_video,2008,USA,1.0,3652913.0,3.0,4.0,1,4745.0
web,2008,USA,1.0,800000.0,1.0,5.0,1,4745.0
web,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
software,2010,USA,1.0,3652913.0,2.0,2.0,1,4015.0
games_video,2010,BRA,1.0,3652913.0,1.0,1.0,1,4015.0
software,2007,USA,1.0,3652913.0,3.0,2.0,1,5110.0
biotech,2001,USA,1.0,10200000.0,1.0,2.0,1,7300.0
network_hosting,2006,USA,1.0,205000.0,1.0,1.0,0,1460.0
software,2008,USA,1.0,3652913.0,1.0,1.0,0,365.0
advertising,2008,USA,1.0,1000000.0,2.0,3.0,1,4745.0
search,2008,GBR,1.0,3652913.0,1.0,2.0,1,4745.0
software,2006,USA,1.0,230000.0,1.0,3.0,1,5475.0
software,2006,USA,1.0,375000.0,1.0,3.0,0,1095.0
software,2009,ISL,1.0,450000.0,1.0,2.0,1,4380.0
software,2009,KOR,1.0,3652913.0,1.0,5.0,1,4380.0
software,2008,USA,1.0,3652913.0,1.0,2.0,1,4745.0
advertising,2011,TUR,1.0,3652913.0,1.0,1.0,1,3650.0
web,2007,USA,1.0,3652913.0,1.0,2.0,1,5110.0
web,2007,USA,1.0,500000.0,2.0,6.0,1,5110.0
advertising,2011,USA,1.0,3652913.0,1.0,6.0,1,3650.0
public_relations,2007,NLD,1.0,3652913.0,1.0,3.0,1,5110.0
software,2006,DNK,1.0,3652913.0,1.0,4.0,1,5475.0
finance,2011,USA,1.0,100000.0,2.0,1.0,1,3650.0
games_video,2007,USA,1.0,3652913.0,1.0,1.0,1,5110.0
software,2005,USA,1.0,3652913.0,1.0,1.0,1,5840.0
software,2008,USA,2.0,27100000.0,1.0,1.0,1,4745.0
web,2006,USA,1.0,3652913.0,2.0,2.0,1,5475.0
web,2003,USA,1.0,3652913.0,1.0,2.0,1,6570.0
other,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
games_video,2008,USA,1.0,3652913.0,1.0,1.0,0,1460.0
web,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
consulting,1991,USA,1.0,3652913.0,1.0,2.0,1,10950.0
advertising,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
web,1999,USA,3.0,17900000.0,4.0,6.0,1,8030.0
web,2011,IRL,1.0,3652913.0,1.0,2.0,1,3650.0
ecommerce,2011,CAN,1.0,3652913.0,1.0,3.0,1,3650.0
advertising,2008,USA,1.0,3652913.0,1.0,2.0,1,4745.0
other,2009,USA,1.0,3652913.0,1.0,5.0,1,4380.0
other,2002,CAN,1.0,3652913.0,1.0,4.0,1,6935.0
software,2000,USA,1.0,3652913.0,1.0,2.0,1,7665.0
games_video,2007,USA,1.0,3652913.0,2.0,2.0,0,2190.0
network_hosting,2010,BRA,1.0,3652913.0,1.0,4.0,1,4015.0
health,2002,USA,1.0,3652913.0,1.0,3.0,1,6935.0
ecommerce,2007,USA,1.0,3652913.0,1.0,3.0,1,5110.0
web,2008,USA,1.0,3652913.0,3.0,1.0,1,4745.0
web,2009,USA,1.0,3652913.0,1.0,1.0,1,4380.0
software,2005,POL,1.0,3652913.0,1.0,1.0,1,5840.0
web,2011,USA,1.0,3652913.0,1.0,2.0,1,3650.0
web,2004,NLD,1.0,3652913.0,1.0,3.0,1,6205.0
consulting,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
web,2002,USA,1.0,3652913.0,1.0,2.0,1,6935.0
web,2007,USA,1.0,150000.0,1.0,2.0,1,5110.0
web,2007,JPN,1.0,3652913.0,1.0,2.0,1,5110.0
semiconductor,1999,USA,1.0,3652913.0,1.0,1.0,1,8030.0
web,2011,USA,1.0,75000.0,1.0,2.0,1,3650.0
web,2000,FRA,1.0,3652913.0,1.0,1.0,1,7665.0
social,2009,USA,1.0,3000000.0,1.0,2.0,0,1095.0
games_video,2007,CHN,1.0,3652913.0,1.0,2.0,1,5110.0
enterprise,2000,USA,1.0,16000000.0,1.0,2.0,1,7665.0
other,2003,GRC,1.0,3652913.0,1.0,1.0,1,6570.0
software,2002,IND,1.0,3652913.0,1.0,2.0,1,6935.0
ecommerce,2002,POL,1.0,3652913.0,3.0,3.0,1,6935.0
software,1999,USA,1.0,3652913.0,1.0,4.0,1,8030.0
web,2011,SGP,1.0,3652913.0,1.0,2.0,1,3650.0
hardware,1984,GBR,1.0,3652913.0,1.0,7.0,1,13505.0
search,2010,GBR,1.0,3652913.0,1.0,1.0,1,4015.0
software,2001,GBR,1.0,3652913.0,1.0,1.0,1,7300.0
